Address,Current_Code,Suggested_Code,Confidence,Description,Nearby_Count,Latitude,Longitude
"4 CANAL PK #C1",343,346,0.167,"Unknown",12,902187.696839,235042.143130
"4-6 CANAL PK #101",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #108",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #109",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #110",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #111",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #112",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #201",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #202",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #203",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #204",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #205",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #206",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #207",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #208",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #209",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #210",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #211",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #212",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #301",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #302",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #303",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #304",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #305",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #306",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #307",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #308",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #309",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #310",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #311",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #312",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #401",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #402",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #403",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #404",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #405",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #406",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #407",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #408",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #409",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #410",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #411",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
