PROP_ID,LOC_ID,SITE_ADDR,current_use_code,nearby_count,suggestion_1_code,suggestion_1_confidence,suggestion_1_reason,suggestion_1_description
"8-61-C1","F_771134_2959927","4 CANAL PK #C1",343,12,910,0.333,"4/12 nearby properties (33.3%); Code: Department of Conservation and Recreation Division of State Parks and Recreation","Department of Conservation and Recreation Division of State Parks and Recreation"
"8-61-101","F_771134_2959927","4-6 CANAL PK #101",1021,12,910,0.333,"4/12 nearby properties (33.3%); Code: Department of Conservation and Recreation Division of State Parks and Recreation","Department of Conservation and Recreation Division of State Parks and Recreation"
"8-61-108","F_771134_2959927","4 CANAL PK #108",1021,12,910,0.333,"4/12 nearby properties (33.3%); Code: Department of Conservation and Recreation Division of State Parks and Recreation","Department of Conservation and Recreation Division of State Parks and Recreation"
"8-61-109","F_771134_2959927","4 CANAL PK #109",1021,12,910,0.333,"4/12 nearby properties (33.3%); Code: Department of Conservation and Recreation Division of State Parks and Recreation","Department of Conservation and Recreation Division of State Parks and Recreation"
"8-61-110","F_771134_2959927","4 CANAL PK #110",1021,12,910,0.333,"4/12 nearby properties (33.3%); Code: Department of Conservation and Recreation Division of State Parks and Recreation","Department of Conservation and Recreation Division of State Parks and Recreation"
"8-61-111","F_771134_2959927","4 CANAL PK #111",1021,12,910,0.333,"4/12 nearby properties (33.3%); Code: Department of Conservation and Recreation Division of State Parks and Recreation","Department of Conservation and Recreation Division of State Parks and Recreation"
"8-61-112","F_771134_2959927","4 CANAL PK #112",1021,12,910,0.333,"4/12 nearby properties (33.3%); Code: Department of Conservation and Recreation Division of State Parks and Recreation","Department of Conservation and Recreation Division of State Parks and Recreation"
"8-61-201","F_771134_2959927","4 CANAL PK #201",1021,12,910,0.333,"4/12 nearby properties (33.3%); Code: Department of Conservation and Recreation Division of State Parks and Recreation","Department of Conservation and Recreation Division of State Parks and Recreation"
"8-61-202","F_771134_2959927","4 CANAL PK #202",1021,12,910,0.333,"4/12 nearby properties (33.3%); Code: Department of Conservation and Recreation Division of State Parks and Recreation","Department of Conservation and Recreation Division of State Parks and Recreation"
"8-61-203","F_771134_2959927","4 CANAL PK #203",1021,12,910,0.333,"4/12 nearby properties (33.3%); Code: Department of Conservation and Recreation Division of State Parks and Recreation","Department of Conservation and Recreation Division of State Parks and Recreation"
"8-61-204","F_771134_2959927","4 CANAL PK #204",1021,12,910,0.333,"4/12 nearby properties (33.3%); Code: Department of Conservation and Recreation Division of State Parks and Recreation","Department of Conservation and Recreation Division of State Parks and Recreation"
"8-61-205","F_771134_2959927","4 CANAL PK #205",1021,12,910,0.333,"4/12 nearby properties (33.3%); Code: Department of Conservation and Recreation Division of State Parks and Recreation","Department of Conservation and Recreation Division of State Parks and Recreation"
